CMDLINE 24480
MEM 1184.410156 1686733362.8275
MEM 1184.410156 1686733362.9318
MEM 1184.355469 1686733363.0444
MEM 1184.355469 1686733363.1568
MEM 1184.355469 1686733363.2689
MEM 1184.355469 1686733363.3826
MEM 1184.355469 1686733363.4951
MEM 1184.355469 1686733363.6072
MEM 1184.355469 1686733363.7189
MEM 1184.355469 1686733363.8316
MEM 1184.355469 1686733363.9419
MEM 1184.355469 1686733364.0450
MEM 1184.355469 1686733364.1550
MEM 1184.355469 1686733364.2650
MEM 1184.355469 1686733364.3763
MEM 1184.355469 1686733364.4794
MEM 1184.355469 1686733364.5820
MEM 1184.355469 1686733364.6920
MEM 1184.355469 1686733364.8023
MEM 1184.355469 1686733364.9115
MEM 1184.355469 1686733365.0215
MEM 1184.355469 1686733365.1314
MEM 1184.355469 1686733365.2417
MEM 1184.355469 1686733365.3517
MEM 1184.355469 1686733365.4550
MEM 1184.355469 1686733365.5648
MEM 1184.355469 1686733365.6711
MEM 1184.355469 1686733365.7748
MEM 1184.355469 1686733365.8889
MEM 1184.355469 1686733365.9925
MEM 1184.355469 1686733366.0927
MEM 1184.355469 1686733366.2062
MEM 1184.355469 1686733366.3169
MEM 1184.355469 1686733366.4280
MEM 1184.355469 1686733366.5376
MEM 1184.355469 1686733366.6476
MEM 1184.355469 1686733366.7579
MEM 1184.355469 1686733366.8677
MEM 1184.355469 1686733366.9774
MEM 1184.355469 1686733367.0875
MEM 1184.355469 1686733367.1978
MEM 1184.355469 1686733367.3074
MEM 1184.355469 1686733367.4177
MEM 1184.355469 1686733367.5280
MEM 1184.355469 1686733367.6386
MEM 1184.355469 1686733367.7493
MEM 1184.355469 1686733367.8593
MEM 1184.355469 1686733367.9698
MEM 1184.355469 1686733368.0799
MEM 1184.355469 1686733368.1899
MEM 1184.355469 1686733368.3001
MEM 1184.355469 1686733368.4100
MEM 1184.355469 1686733368.5261
MEM 1184.355469 1686733368.6301
MEM 1184.355469 1686733368.7402
MEM 1184.355469 1686733368.8504
MEM 1184.355469 1686733368.9607
MEM 1184.355469 1686733369.0705
MEM 1184.355469 1686733369.1806
MEM 1184.355469 1686733369.2901
MEM 1184.355469 1686733369.4003
MEM 1184.355469 1686733369.5115
MEM 1184.355469 1686733369.6215
MEM 1184.355469 1686733369.7321
MEM 1184.355469 1686733369.8424
MEM 1184.355469 1686733369.9532
MEM 1184.355469 1686733370.0634
MEM 1184.355469 1686733370.1739
MEM 1184.355469 1686733370.2840
MEM 1184.355469 1686733370.3939
MEM 1184.355469 1686733370.5192
MEM 1184.355469 1686733370.6292
MEM 1184.355469 1686733370.7392
MEM 1184.355469 1686733370.8492
MEM 1184.355469 1686733370.9593
MEM 1184.355469 1686733371.0617
MEM 1184.355469 1686733371.1727
MEM 1184.355469 1686733371.2780
MEM 1184.355469 1686733371.3810
MEM 1184.355469 1686733371.4917
MEM 1184.355469 1686733371.6015
MEM 1184.355469 1686733371.7123
MEM 1184.355469 1686733371.8222
MEM 1184.355469 1686733371.9323
MEM 1184.355469 1686733372.0427
MEM 1184.355469 1686733372.1527
MEM 1184.355469 1686733372.2629
MEM 1184.355469 1686733372.3725
MEM 1184.355469 1686733372.4825
MEM 1184.355469 1686733372.5926
MEM 1184.355469 1686733372.7037
MEM 1184.355469 1686733372.8148
MEM 1184.355469 1686733372.9263
MEM 1184.355469 1686733373.0368
MEM 1184.355469 1686733373.1480
MEM 1184.355469 1686733373.2593
MEM 1184.355469 1686733373.3727
MEM 1184.355469 1686733373.4822
MEM 1184.355469 1686733373.5935
MEM 1184.355469 1686733373.7046
MEM 1184.355469 1686733373.8167
MEM 1184.355469 1686733373.9270
MEM 1184.355469 1686733374.0389
MEM 1184.355469 1686733374.1498
MEM 1184.355469 1686733374.2608
MEM 1184.355469 1686733374.3731
MEM 1184.355469 1686733374.4976
MEM 1184.355469 1686733374.6152
MEM 1184.355469 1686733374.7254
MEM 1184.355469 1686733374.8383
MEM 1184.355469 1686733374.9455
MEM 1184.355469 1686733375.0457
MEM 1184.355469 1686733375.1532
MEM 1184.355469 1686733375.2671
MEM 1184.355469 1686733375.3714
MEM 1184.355469 1686733375.4727
MEM 1184.355469 1686733375.5744
MEM 1184.355469 1686733375.6789
MEM 1184.355469 1686733375.7937
MEM 1184.355469 1686733375.9035
MEM 1184.355469 1686733376.0132
MEM 1184.355469 1686733376.1234
MEM 1184.355469 1686733376.2330
MEM 1184.355469 1686733376.3426
MEM 1184.355469 1686733376.4529
MEM 1184.355469 1686733376.5627
MEM 1184.355469 1686733376.6725
MEM 1184.355469 1686733376.7822
MEM 1184.355469 1686733376.8937
MEM 1184.355469 1686733377.0045
MEM 1184.355469 1686733377.1146
MEM 1184.355469 1686733377.2259
MEM 1184.355469 1686733377.3375
MEM 1184.355469 1686733377.4480
MEM 1184.355469 1686733377.5599
MEM 1184.355469 1686733377.6715
MEM 1184.355469 1686733377.7829
MEM 1184.355469 1686733377.8888
MEM 1184.355469 1686733377.9990
MEM 1184.355469 1686733378.1106
MEM 1184.355469 1686733378.2209
MEM 1184.355469 1686733378.3340
MEM 1184.355469 1686733378.4436
MEM 1184.355469 1686733378.5474
MEM 1184.355469 1686733378.6525
MEM 1184.355469 1686733378.7551
MEM 1184.355469 1686733378.8568
MEM 1184.355469 1686733378.9712
MEM 1184.355469 1686733379.0854
MEM 1184.355469 1686733379.2058
MEM 1184.355469 1686733379.3163
MEM 1184.355469 1686733379.4285
MEM 1184.355469 1686733379.5349
MEM 1184.355469 1686733379.6449
MEM 1184.355469 1686733379.7493
MEM 1184.402344 1686733379.8580
MEM 1208.679688 1686733379.9626
MEM 1210.226562 1686733380.0630
MEM 1284.363281 1686733380.1782
MEM 1301.289062 1686733380.2804
MEM 1339.113281 1686733380.3949
MEM 1341.113281 1686733380.4965
MEM 1250.125000 1686733380.5986
MEM 1211.097656 1686733380.7101
MEM 1186.339844 1686733380.8122
MEM 1211.402344 1686733380.9143
MEM 1209.789062 1686733381.0268
MEM 1185.519531 1686733381.1292
MEM 1210.890625 1686733381.2319
MEM 1186.417969 1686733381.3428
MEM 1211.406250 1686733381.4459
MEM 1211.359375 1686733381.5466
MEM 1307.472656 1686733381.6592
MEM 1374.000000 1686733381.7617
MEM 1422.757812 1686733381.8704
MEM 1466.363281 1686733381.9809
MEM 1480.410156 1686733382.0850
MEM 1509.714844 1686733382.1966
MEM 1551.976562 1686733382.2999
MEM 1626.175781 1686733382.4114
MEM 1658.550781 1686733382.5145
MEM 1594.800781 1686733382.6256
MEM 1585.945312 1686733382.7403
MEM 1586.117188 1686733382.8530
MEM 1586.312500 1686733382.9651
MEM 1586.386719 1686733383.0733
MEM 1586.535156 1686733383.1778
MEM 1586.535156 1686733383.2812
MEM 1584.996094 1686733383.3824
MEM 1584.996094 1686733383.4924
MEM 1584.996094 1686733383.6105
MEM 1584.996094 1686733383.7192
MEM 1584.996094 1686733383.8296
MEM 1584.996094 1686733383.9400
MEM 1584.996094 1686733384.0502
MEM 1584.996094 1686733384.1602
MEM 1584.996094 1686733384.2707
MEM 1584.996094 1686733384.3805
MEM 1584.996094 1686733384.4907
MEM 1584.996094 1686733384.6007
MEM 1584.996094 1686733384.7111
MEM 1584.996094 1686733384.8219
MEM 1584.996094 1686733384.9322
MEM 1584.996094 1686733385.0422
MEM 1584.996094 1686733385.1519
MEM 1584.996094 1686733385.2548
MEM 1584.996094 1686733385.3655
MEM 1584.996094 1686733385.4754
MEM 1584.996094 1686733385.5857
MEM 1584.996094 1686733385.6973
MEM 1584.996094 1686733385.8077
MEM 1584.996094 1686733385.9184
MEM 1584.996094 1686733386.0284
MEM 1584.996094 1686733386.1382
MEM 1584.996094 1686733386.2485
MEM 1584.996094 1686733386.3583
MEM 1584.996094 1686733386.4678
MEM 1584.996094 1686733386.5781
MEM 1584.996094 1686733386.6881
MEM 1584.996094 1686733386.7990
MEM 1584.996094 1686733386.9095
MEM 1584.996094 1686733387.0456
MEM 1584.996094 1686733387.1567
MEM 1584.996094 1686733387.2671
MEM 1584.996094 1686733387.3771
MEM 1584.996094 1686733387.4787
MEM 1584.996094 1686733387.6028
MEM 1584.996094 1686733387.7148
MEM 1584.996094 1686733387.8185
MEM 1584.996094 1686733387.9224
MEM 1584.996094 1686733388.0279
MEM 1584.996094 1686733388.1340
MEM 1584.996094 1686733388.2434
MEM 1584.996094 1686733388.3521
MEM 1584.996094 1686733388.4580
MEM 1584.996094 1686733388.5719
MEM 1584.996094 1686733388.6805
MEM 1584.996094 1686733388.7835
MEM 1584.996094 1686733388.8876
MEM 1584.996094 1686733388.9896
MEM 1584.996094 1686733389.0988
MEM 1584.996094 1686733389.2201
MEM 1584.996094 1686733389.3201
MEM 1584.996094 1686733389.4332
MEM 1584.996094 1686733389.5345
MEM 1584.996094 1686733389.6473
MEM 1584.996094 1686733389.7511
MEM 1585.710938 1686733389.8515
MEM 1611.121094 1686733389.9661
MEM 1668.214844 1686733390.0737
MEM 1691.183594 1686733390.1820
MEM 1722.804688 1686733390.2870
MEM 1740.769531 1686733390.3886
MEM 1716.171875 1686733390.5000
MEM 1586.261719 1686733390.6008
MEM 1611.933594 1686733390.7026
MEM 1587.042969 1686733390.8142
MEM 1611.843750 1686733390.9192
MEM 1588.234375 1686733391.0353
MEM 1612.101562 1686733391.1492
MEM 1606.042969 1686733391.2529
MEM 1611.328125 1686733391.3574
MEM 1610.316406 1686733391.4695
MEM 1586.703125 1686733391.5813
MEM 1654.242188 1686733391.6875
MEM 1738.812500 1686733391.8009
MEM 1775.148438 1686733391.9135
MEM 1819.882812 1686733392.0203
MEM 1855.386719 1686733392.1230
MEM 1876.214844 1686733392.2276
MEM 1946.722656 1686733392.3410
MEM 1932.015625 1686733392.4447
MEM 1971.457031 1686733392.5564
MEM 2026.593750 1686733392.6646
MEM 1981.207031 1686733392.7696
MEM 1986.304688 1686733392.8706
MEM 1986.941406 1686733392.9773
MEM 1987.007812 1686733393.0815
MEM 1987.015625 1686733393.1910
MEM 1987.019531 1686733393.2945
MEM 1987.015625 1686733393.4076
MEM 1987.027344 1686733393.5200
MEM 1986.972656 1686733393.6322
MEM 1986.972656 1686733393.7376
MEM 1986.972656 1686733393.8474
MEM 1986.972656 1686733393.9559
MEM 1986.972656 1686733394.0608
MEM 1986.972656 1686733394.1677
MEM 1986.972656 1686733394.2799
MEM 1986.972656 1686733394.3912
MEM 1986.972656 1686733394.5058
MEM 1986.972656 1686733394.6170
MEM 1986.972656 1686733394.7175
MEM 1986.972656 1686733394.8244
MEM 1986.972656 1686733394.9329
MEM 1986.972656 1686733395.0466
MEM 1986.972656 1686733395.1508
MEM 1986.972656 1686733395.2665
MEM 1986.972656 1686733395.3788
MEM 1986.972656 1686733395.4890
MEM 1986.972656 1686733395.6000
MEM 1986.972656 1686733395.7103
MEM 1986.972656 1686733395.8202
MEM 1986.972656 1686733395.9316
MEM 1986.972656 1686733396.0413
MEM 1986.972656 1686733396.1510
MEM 1986.972656 1686733396.2605
MEM 1986.972656 1686733396.3670
MEM 1986.972656 1686733396.4698
MEM 1986.972656 1686733396.5794
MEM 1986.972656 1686733396.6839
MEM 1986.972656 1686733396.7962
MEM 1986.972656 1686733396.9070
MEM 1986.972656 1686733397.0204
MEM 1986.972656 1686733397.1345
MEM 1986.972656 1686733397.2396
MEM 1986.972656 1686733397.3467
MEM 1986.972656 1686733397.4504
MEM 1986.972656 1686733397.5664
MEM 1986.972656 1686733397.6786
MEM 1986.972656 1686733397.7841
MEM 1986.972656 1686733397.8958
MEM 1986.972656 1686733398.0068
MEM 1986.972656 1686733398.1195
MEM 1986.972656 1686733398.2308
MEM 1986.972656 1686733398.3432
MEM 1986.972656 1686733398.4542
MEM 1986.972656 1686733398.5644
MEM 1986.972656 1686733398.6765
MEM 1986.972656 1686733398.7804
MEM 1986.972656 1686733398.8905
MEM 1986.972656 1686733399.0025
MEM 1986.972656 1686733399.1131
MEM 1986.972656 1686733399.2253
MEM 1986.972656 1686733399.3306
MEM 1986.972656 1686733399.4410
MEM 1986.972656 1686733399.5511
MEM 1986.972656 1686733399.6610
MEM 1986.972656 1686733399.7706
MEM 1986.972656 1686733399.8808
MEM 1986.972656 1686733399.9935
MEM 1986.972656 1686733400.1015
MEM 1986.972656 1686733400.2074
MEM 1986.972656 1686733400.3185
MEM 1986.972656 1686733400.4284
MEM 1986.972656 1686733400.5398
MEM 1986.972656 1686733400.6509
MEM 1986.972656 1686733400.7613
MEM 1986.972656 1686733400.8715
MEM 1986.972656 1686733400.9814
MEM 1986.972656 1686733401.0915
MEM 1986.972656 1686733401.1964
MEM 1986.972656 1686733401.3096
MEM 1986.972656 1686733401.4097
MEM 1986.972656 1686733401.5200
MEM 1986.972656 1686733401.6309
MEM 1986.972656 1686733401.7409
MEM 1986.972656 1686733401.8507
MEM 1986.972656 1686733401.9605
MEM 1986.972656 1686733402.0706
MEM 1986.972656 1686733402.1807
MEM 1986.972656 1686733402.2907
MEM 1986.972656 1686733402.4035
MEM 1986.972656 1686733402.5131
MEM 1986.972656 1686733402.6227
MEM 1986.972656 1686733402.7347
MEM 1986.972656 1686733402.8465
MEM 1986.972656 1686733402.9563
MEM 1986.972656 1686733403.0660
MEM 1986.972656 1686733403.1762
MEM 1986.972656 1686733403.2865
MEM 1986.972656 1686733403.3972
MEM 1986.972656 1686733403.5174
MEM 1986.972656 1686733403.6192
MEM 1986.972656 1686733403.7307
MEM 1986.972656 1686733403.8418
MEM 1986.972656 1686733403.9523
MEM 1986.972656 1686733404.0630
MEM 1986.972656 1686733404.1757
MEM 1986.972656 1686733404.2865
MEM 1986.972656 1686733404.3966
MEM 1986.972656 1686733404.5237
MEM 1986.972656 1686733404.6342
MEM 1986.972656 1686733404.7454
MEM 1986.972656 1686733404.8568
MEM 1986.972656 1686733404.9691
MEM 1986.972656 1686733405.0804
MEM 1986.972656 1686733405.1924
MEM 1986.972656 1686733405.2935
MEM 1986.972656 1686733405.3941
MEM 1986.972656 1686733405.5220
MEM 1986.972656 1686733405.6338
MEM 1986.972656 1686733405.7456
MEM 1986.972656 1686733405.8579
MEM 1986.972656 1686733405.9607
MEM 1986.972656 1686733406.0730
MEM 1986.972656 1686733406.1858
MEM 1986.972656 1686733406.2970
MEM 1986.972656 1686733406.4091
MEM 1986.972656 1686733406.5226
MEM 1986.972656 1686733406.6323
MEM 1986.972656 1686733406.7443
MEM 1986.972656 1686733406.8532
MEM 1986.972656 1686733406.9658
MEM 1986.972656 1686733407.0769
MEM 1986.972656 1686733407.1875
MEM 1986.972656 1686733407.2979
MEM 1986.972656 1686733407.4085
MEM 1986.972656 1686733407.5197
MEM 1986.972656 1686733407.6316
MEM 1986.972656 1686733407.7424
MEM 1986.972656 1686733407.8536
MEM 1986.972656 1686733407.9639
MEM 1986.972656 1686733408.0743
MEM 1986.972656 1686733408.1840
MEM 1986.972656 1686733408.2940
MEM 1986.972656 1686733408.4004
MEM 1986.972656 1686733408.5132
MEM 1986.972656 1686733408.6232
MEM 1986.972656 1686733408.7344
MEM 1986.972656 1686733408.8395
MEM 1986.972656 1686733408.9498
MEM 1986.972656 1686733409.0597
MEM 1986.972656 1686733409.1699
MEM 1986.972656 1686733409.2798
MEM 1986.972656 1686733409.3894
MEM 1986.972656 1686733409.4996
MEM 1986.972656 1686733409.6093
MEM 1986.972656 1686733409.7195
MEM 1986.972656 1686733409.8293
MEM 1986.972656 1686733409.9392
MEM 1986.972656 1686733410.0491
MEM 1986.972656 1686733410.1592
MEM 1986.972656 1686733410.2689
MEM 1986.972656 1686733410.3723
MEM 1986.972656 1686733410.4820
MEM 1986.972656 1686733410.5921
MEM 1986.972656 1686733410.7019
MEM 1986.972656 1686733410.8118
MEM 1986.972656 1686733410.9169
MEM 1986.972656 1686733411.0273
MEM 1986.972656 1686733411.1369
MEM 1986.972656 1686733411.2468
MEM 1986.972656 1686733411.3567
MEM 1986.972656 1686733411.4652
MEM 1986.972656 1686733411.5756
MEM 1986.972656 1686733411.6864
MEM 1986.972656 1686733411.7971
MEM 1986.972656 1686733411.9289
MEM 1986.972656 1686733412.0385
MEM 1986.972656 1686733412.1489
MEM 1986.972656 1686733412.2612
MEM 1986.972656 1686733412.3649
MEM 1986.972656 1686733412.4757
MEM 1986.972656 1686733412.5878
MEM 1986.972656 1686733412.6987
MEM 1986.972656 1686733412.8025
MEM 1986.972656 1686733412.9132
MEM 1986.972656 1686733413.0154
MEM 1986.972656 1686733413.1253
MEM 1986.972656 1686733413.2367
MEM 1986.972656 1686733413.3481
MEM 1986.972656 1686733413.4580
MEM 1986.972656 1686733413.5696
MEM 1986.972656 1686733413.6712
MEM 1986.972656 1686733413.7825
MEM 1986.972656 1686733413.8944
MEM 1986.972656 1686733414.0035
MEM 1986.972656 1686733414.1071
MEM 1986.972656 1686733414.2178
MEM 1986.972656 1686733414.3289
MEM 1986.964844 1686733414.4379
MEM 1986.964844 1686733414.5482
MEM 1986.964844 1686733414.6590
MEM 1986.964844 1686733414.7704
MEM 1986.964844 1686733414.8716
MEM 1986.964844 1686733414.9816
MEM 1986.964844 1686733415.0930
MEM 1986.964844 1686733415.1957
MEM 1986.964844 1686733415.3123
MEM 1986.964844 1686733415.4185
MEM 1986.964844 1686733415.5283
MEM 1986.964844 1686733415.6393
MEM 1986.964844 1686733415.7499
MEM 1986.964844 1686733415.8570
MEM 1986.964844 1686733415.9728
MEM 1986.964844 1686733416.0782
MEM 1986.964844 1686733416.1898
MEM 1986.964844 1686733416.2941
MEM 1986.964844 1686733416.3967
MEM 1986.964844 1686733416.5082
MEM 1986.964844 1686733416.6167
MEM 1986.964844 1686733416.7197
MEM 1986.964844 1686733416.8312
MEM 1986.964844 1686733416.9384
MEM 1986.964844 1686733417.0413
MEM 1986.964844 1686733417.1518
MEM 1986.964844 1686733417.2660
MEM 1986.964844 1686733417.3770
MEM 1986.964844 1686733417.4845
MEM 1986.964844 1686733417.5951
MEM 1986.964844 1686733417.7069
MEM 1986.964844 1686733417.8198
MEM 1986.964844 1686733417.9316
MEM 1986.964844 1686733418.0406
MEM 1986.964844 1686733418.1531
MEM 1986.964844 1686733418.2623
MEM 1986.964844 1686733418.3690
MEM 1986.964844 1686733418.4828
MEM 1986.964844 1686733418.5959
MEM 1986.964844 1686733418.7117
MEM 1986.964844 1686733418.8180
MEM 1986.964844 1686733418.9219
MEM 1986.964844 1686733419.0321
MEM 1986.964844 1686733419.1437
MEM 1986.964844 1686733419.2536
MEM 1986.964844 1686733419.3641
MEM 1986.964844 1686733419.4753
MEM 1986.964844 1686733419.5859
MEM 1986.964844 1686733419.6979
MEM 1986.964844 1686733419.8092
MEM 1986.964844 1686733419.9213
MEM 1986.964844 1686733420.0330
MEM 1986.964844 1686733420.1348
MEM 1986.964844 1686733420.2461
MEM 1986.964844 1686733420.3581
MEM 1986.964844 1686733420.4699
MEM 1986.964844 1686733420.5825
MEM 1986.964844 1686733420.6977
MEM 1986.964844 1686733420.8089
MEM 1986.964844 1686733420.9196
MEM 1986.964844 1686733421.0301
MEM 1986.964844 1686733421.1423
MEM 1986.964844 1686733421.2455
MEM 1986.964844 1686733421.3456
MEM 1986.964844 1686733421.4573
MEM 1986.964844 1686733421.5689
MEM 1986.964844 1686733421.6795
MEM 1986.949219 1686733421.7896
MEM 1986.949219 1686733421.9008
MEM 1986.949219 1686733422.0128
MEM 1986.949219 1686733422.1243
MEM 1986.949219 1686733422.2367
MEM 1986.949219 1686733422.3436
MEM 1986.949219 1686733422.4464
MEM 1986.949219 1686733422.5565
MEM 1986.949219 1686733422.6668
MEM 1986.949219 1686733422.7802
MEM 1986.949219 1686733422.8935
MEM 1986.949219 1686733423.0080
MEM 1986.949219 1686733423.1178
MEM 1986.949219 1686733423.2281
MEM 1986.949219 1686733423.3401
MEM 1986.949219 1686733423.4528
MEM 1986.949219 1686733423.5648
MEM 1986.949219 1686733423.6761
MEM 1986.949219 1686733423.7865
MEM 1986.949219 1686733423.8930
MEM 1986.949219 1686733424.0069
MEM 1986.949219 1686733424.1184
MEM 1986.949219 1686733424.2282
MEM 1986.949219 1686733424.3398
MEM 1986.949219 1686733424.4525
MEM 1986.949219 1686733424.5640
MEM 1986.949219 1686733424.6752
MEM 1986.949219 1686733424.7864
MEM 1986.949219 1686733424.8894
MEM 1986.949219 1686733424.9994
MEM 1986.949219 1686733425.1103
MEM 1986.949219 1686733425.2207
MEM 1986.949219 1686733425.3320
MEM 1986.949219 1686733425.4419
MEM 1986.949219 1686733425.5525
MEM 1986.949219 1686733425.6646
MEM 1986.949219 1686733425.7749
MEM 1986.949219 1686733425.8866
MEM 1986.949219 1686733425.9972
MEM 1986.949219 1686733426.1084
MEM 1986.949219 1686733426.2193
MEM 1986.949219 1686733426.3317
MEM 1986.949219 1686733426.4416
MEM 1986.949219 1686733426.5523
MEM 1986.949219 1686733426.6629
MEM 1986.949219 1686733426.7738
MEM 1986.949219 1686733426.8860
MEM 1986.949219 1686733426.9981
MEM 1986.949219 1686733427.1094
MEM 1986.949219 1686733427.2214
MEM 1986.949219 1686733427.3332
MEM 1986.949219 1686733427.4461
MEM 1986.949219 1686733427.5576
MEM 1986.949219 1686733427.6688
MEM 1986.949219 1686733427.7806
MEM 1986.949219 1686733427.8926
MEM 1986.949219 1686733428.0030
MEM 1986.949219 1686733428.1140
MEM 1986.949219 1686733428.2242
MEM 1986.949219 1686733428.3342
MEM 1986.949219 1686733428.4455
MEM 1986.949219 1686733428.5568
MEM 1986.949219 1686733428.6687
MEM 1986.949219 1686733428.7790
MEM 1986.949219 1686733428.8893
MEM 1986.949219 1686733428.9991
MEM 1986.949219 1686733429.1094
MEM 1986.949219 1686733429.2203
MEM 1986.949219 1686733429.3310
MEM 1986.949219 1686733429.4416
MEM 1986.949219 1686733429.5556
MEM 1986.949219 1686733429.6628
MEM 1986.949219 1686733429.7747
MEM 1986.949219 1686733429.8762
MEM 1986.949219 1686733429.9875
MEM 1986.949219 1686733430.0991
MEM 1986.949219 1686733430.2115
MEM 1986.949219 1686733430.3216
MEM 1986.949219 1686733430.4323
MEM 1986.949219 1686733430.5428
MEM 1986.949219 1686733430.6527
MEM 1986.949219 1686733430.7631
MEM 1986.949219 1686733430.8735
MEM 1986.949219 1686733430.9849
MEM 1986.949219 1686733431.0956
MEM 1986.949219 1686733431.2065
MEM 1986.949219 1686733431.3166
MEM 1986.949219 1686733431.4269
MEM 1986.949219 1686733431.5365
MEM 1986.949219 1686733431.6493
MEM 1986.949219 1686733431.7621
MEM 1986.949219 1686733431.8753
MEM 1986.949219 1686733431.9873
MEM 1986.949219 1686733432.0999
MEM 1986.949219 1686733432.2101
MEM 1986.949219 1686733432.3209
MEM 1986.949219 1686733432.4326
MEM 1986.949219 1686733432.5449
MEM 1986.949219 1686733432.6568
MEM 1986.949219 1686733432.7689
MEM 1986.949219 1686733432.8810
MEM 1986.949219 1686733432.9921
MEM 1986.949219 1686733433.1028
MEM 1986.949219 1686733433.2128
MEM 1986.949219 1686733433.3237
MEM 1986.949219 1686733433.4342
MEM 1986.949219 1686733433.5348
MEM 1986.949219 1686733433.6446
MEM 1986.949219 1686733433.7548
MEM 1986.949219 1686733433.8655
MEM 1986.949219 1686733433.9763
MEM 1986.949219 1686733434.0857
MEM 1986.949219 1686733434.1980
MEM 1986.949219 1686733434.3090
MEM 1986.949219 1686733434.4196
MEM 1986.949219 1686733434.5314
MEM 1986.949219 1686733434.6420
MEM 1986.949219 1686733434.7535
MEM 1986.949219 1686733434.8578
MEM 1986.949219 1686733434.9697
MEM 1986.949219 1686733435.0824
MEM 1986.949219 1686733435.1945
MEM 1986.949219 1686733435.3072
MEM 1986.949219 1686733435.4204
